route	trip	stop	timestamp	arrival	isValid
4	137450_4..N	405N	1463889551	1463889519	true
4	137450_4..N	402N	1463889664	1463889631	true
4	137450_4..N	401N	1463889777	1463889747	true
4	000400_4..S35X002	401S	1463889902	1463889840	true
4	000400_4..S35X002	402S	1463890043	1463890036	true
4	000400_4..S35X002	405S	1463890158	1463890149	true
4	000400_4..S35X002	406S	1463890273	1463890258	true
4	000400_4..S35X002	407S	1463890312	1463890339	true
4	000400_4..S35X002	408S	1463890390	1463890428	true
4	000400_4..S35X002	409S	1463890505	1463890538	true
4	000400_4..S35X002	410S	1463890582	1463890659	true
4	000400_4..S35X002	411S	1463890734	1463890706	true
4	000400_4..S35X002	412S	1463890811	1463890788	true
4	000400_4..S35X002	413S	1463890852	1463890898	true
4	000400_4..S35X002	414S	1463891010	1463890981	true
4	000400_4..S35X002	415S	1463891163	1463891167	true
4	000400_4..S35X002	416S	1463891279	1463891304	true
4	000400_4..S35X002	621S	1463891544	1463891534	true
4	000400_4..S35X002	626S	1463891891	1463891895	true
4	000400_4..S35X002	629S	1463892117	1463892110	true
4	000400_4..S35X002	631S	1463892309	1463892269	true
4	000400_4..S35X002	635S	1463892536	1463892492	true
4	000400_4..S35X002	640S	1463892840	1463892819	true
4	000400_4..S35X002	418S	1463892917	1463892945	true
4	000400_4..S35X002	419S	1463893034	1463893033	false
4	000400_4..S35X002	420S	1463893034	1463893093	false
4	144750_4..N14R	420N	1463889969	1463890050	true
4	144750_4..N14R	419N	1463890091	1463890069	true
4	144750_4..N14R	418N	1463890158	1463890136	true
4	144750_4..N14R	640N	1463890197	1463890244	true
4	144750_4..N14R	635N	1463890466	1463890473	true
4	144750_4..N14R	631N	1463890734	1463890684	true
4	144750_4..N14R	629N	1463890930	1463890919	true
4	144750_4..N14R	626N	1463891240	1463891201	true
4	144750_4..N14R	621N	1463891415	1463891573	true
4	144750_4..N14R	416N	1463891698	1463891669	true
4	144750_4..N14R	415N	1463891774	1463891737	true
4	144750_4..N14R	414N	1463891944	1463891940	true
4	144750_4..N14R	413N	1463892019	1463892083	true
4	144750_4..N14R	412N	1463892117	1463892132	true
4	144750_4..N14R	411N	1463892193	1463892210	true
4	144750_4..N14R	410N	1463892309	1463892283	true
4	144750_4..N14R	409N	1463892385	1463892372	true
4	144750_4..N14R	408N	1463892422	1463892485	true
4	144750_4..N14R	407N	1463892536	1463892548	true
4	144750_4..N14R	406N	1463892612	1463892641	true
4	144750_4..N14R	405N	1463892735	1463892745	true
4	144750_4..N14R	402N	1463892840	1463892845	true
4	144750_4..N14R	401N	1463892995	1463892936	true
4	001400_4..S13X020	401S	1463890466	1463890440	true
4	001400_4..S13X020	402S	1463890505	1463890586	true
4	001400_4..S13X020	405S	1463890582	1463890658	true
4	001400_4..S13X020	406S	1463890734	1463890801	true
4	001400_4..S13X020	407S	1463890852	1463890852	true
4	001400_4..S13X020	408S	1463890930	1463890933	true
4	001400_4..S13X020	409S	1463891048	1463891046	true
4	001400_4..S13X020	410S	1463891163	1463891139	true
4	001400_4..S13X020	411S	1463891240	1463891219	true
4	001400_4..S13X020	412S	1463891279	1463891305	true
4	001400_4..S13X020	413S	1463891415	1463891396	false
4	001400_4..S13X020	414S	1463891415	1463891516	false
4	001400_4..S13X020	415S	1463891698	1463891673	true
4	001400_4..S13X020	416S	1463891774	1463891800	true
4	001400_4..S13X020	621S	1463892117	1463892106	true
4	001400_4..S13X020	622S	1463892309	1463892287	true
4	001400_4..S13X020	623S	1463892385	1463892362	true
4	001400_4..S13X020	624S	1463892498	1463892444	true
4	001400_4..S13X020	625S	1463892536	1463892588	true
4	001400_4..S13X020	626S	1463892687	1463892667	true
4	001400_4..S13X020	627S	1463892802	1463892759	true
4	001400_4..S13X020	628S	1463892840	1463892868	true
4	001400_4..S13X020	629S	1463892917	1463892975	true
4	001400_4..S13X020	630S	1463893034	1463893050	true
4	001400_4..S13X020	631S	1463893149	1463893167	true
4	001400_4..S13X020	632S	1463893262	1463893320	true
4	001400_4..S13X020	633S	1463893375	1463893357	true
4	001400_4..S13X020	634S	1463893451	1463893429	true
4	001400_4..S13X020	635S	1463893567	1463893525	true
4	001400_4..S13X020	636S	1463893682	1463893655	true
4	001400_4..S13X020	637S	1463893759	1463893738	false
4	001400_4..S13X020	638S	1463893759	1463893798	false
4	001400_4..S13X020	639S	1463893875	1463893890	true
4	001400_4..S13X020	640S	1463893990	1463894009	true
4	001400_4..S13X020	418S	1463894105	1463894117	true
4	001400_4..S13X020	419S	1463894219	1463894202	false
4	001400_4..S13X020	420S	1463894219	1463894262	false
4	145950_4..N14R	420N	1463890930	1463890880	false
4	145950_4..N14R	419N	1463890930	1463890940	false
4	145950_4..N14R	418N	1463891048	1463891047	true
4	145950_4..N14R	640N	1463891163	1463891173	true
4	145950_4..N14R	635N	1463891415	1463891475	true
4	145950_4..N14R	631N	1463891698	1463891696	true
4	145950_4..N14R	629N	1463891891	1463891900	true
4	145950_4..N14R	626N	1463892271	1463892208	true
4	145950_4..N14R	621N	1463892612	1463892572	true
4	145950_4..N14R	416N	1463892802	1463892772	true
4	145950_4..N14R	415N	1463892917	1463892857	true
4	145950_4..N14R	414N	1463893034	1463893108	true
4	145950_4..N14R	413N	1463893224	1463893202	true
4	145950_4..N14R	412N	1463893262	1463893312	true
4	145950_4..N14R	411N	1463893375	1463893375	true
4	145950_4..N14R	410N	1463893451	1463893456	true
4	145950_4..N14R	409N	1463893567	1463893562	true
4	145950_4..N14R	408N	1463893682	1463893670	true
4	145950_4..N14R	407N	1463893759	1463893763	true
4	145950_4..N14R	406N	1463893875	1463893866	true
4	145950_4..N14R	405N	1463893990	1463893991	true
4	145950_4..N14R	402N	1463894105	1463894108	true
4	145950_4..N14R	401N	1463894295	1463894234	true
4	138650_4..N14R	407N	1463889512	1463889473	true
4	138650_4..N14R	406N	1463889551	1463889578	true
4	138650_4..N14R	405N	1463889664	1463889721	true
4	138650_4..N14R	402N	1463889777	1463889803	true
4	138650_4..N14R	401N	1463889969	1463889907	true
4	139050_4..S35X002	418S	1463889512	1463889511	true
4	139050_4..S35X002	419S	1463889551	1463889623	false
4	139050_4..S35X002	420S	1463889551	1463889683	false
4	139850_4..N14R	410N	1463889435	1463889461	true
4	139850_4..N14R	409N	1463889551	1463889550	true
4	139850_4..N14R	408N	1463889664	1463889647	true
4	139850_4..N14R	407N	1463889740	1463889729	true
4	139850_4..N14R	406N	1463889854	1463889824	true
4	139850_4..N14R	405N	1463889969	1463889942	true
4	139850_4..N14R	402N	1463890043	1463890050	true
4	139850_4..N14R	401N	1463890197	1463890150	true
4	140250_4..S35X002	629S	1463889551	1463889655	true
4	140250_4..S35X002	631S	1463889854	1463889791	true
4	140250_4..S35X002	635S	1463890091	1463890043	true
4	140250_4..S35X002	640S	1463890312	1463890356	true
4	140250_4..S35X002	418S	1463890505	1463890469	false
4	140250_4..S35X002	419S	1463890505	1463890559	false
4	140250_4..S35X002	420S	1463890582	1463890630	true
4	141050_4..N14R	621N	1463889777	1463889757	true
4	141050_4..N14R	416N	1463889969	1463889952	true
4	141050_4..N14R	415N	1463890091	1463890029	true
4	141050_4..N14R	414N	1463890273	1463890208	true
4	141050_4..N14R	413N	1463890390	1463890362	true
4	141050_4..N14R	412N	1463890505	1463890468	true
4	141050_4..N14R	411N	1463890582	1463890570	true
4	141050_4..N14R	410N	1463890696	1463890658	true
4	141050_4..N14R	409N	1463890811	1463890768	true
4	141050_4..N14R	408N	1463890852	1463890877	true
4	141050_4..N14R	407N	1463891010	1463890969	true
4	141050_4..N14R	406N	1463891125	1463891092	true
4	141050_4..N14R	405N	1463891279	1463891232	false
4	141050_4..N14R	402N	1463891279	1463891322	false
4	141050_4..N14R	401N	1463891544	1463891472	true
4	141450_4..S35X002	416S	1463889512	1463889494	true
4	141450_4..S35X002	621S	1463889664	1463889633	true
4	141450_4..S35X002	626S	1463890043	1463889991	true
4	141450_4..S35X002	629S	1463890273	1463890243	true
4	141450_4..S35X002	631S	1463890390	1463890416	true
4	141450_4..S35X002	635S	1463890696	1463890640	true
4	141450_4..S35X002	640S	1463891010	1463890965	true
4	141450_4..S35X002	418S	1463891125	1463891097	true
4	141450_4..S35X002	419S	1463891163	1463891230	true
4	141450_4..S35X002	420S	1463891279	1463891249	true
4	142350_4..N14R	631N	1463889551	1463889519	true
4	142350_4..N14R	629N	1463889664	1463889678	true
4	142350_4..N14R	626N	1463889969	1463889954	true
4	142350_4..N14R	621N	1463890312	1463890319	true
4	142350_4..N14R	416N	1463890505	1463890500	true
4	142350_4..N14R	415N	1463890582	1463890567	true
4	142350_4..N14R	414N	1463890734	1463890739	true
4	142350_4..N14R	413N	1463890852	1463890860	true
4	142350_4..N14R	412N	1463890930	1463890956	true
4	142350_4..N14R	411N	1463891048	1463891049	true
4	142350_4..N14R	410N	1463891163	1463891132	true
4	142350_4..N14R	409N	1463891240	1463891226	true
4	142350_4..N14R	408N	1463891279	1463891341	true
4	142350_4..N14R	407N	1463891415	1463891405	false
4	142350_4..N14R	406N	1463891415	1463891465	false
4	142350_4..N14R	405N	1463891660	1463891625	true
4	142350_4..N14R	402N	1463891698	1463891741	true
4	142350_4..N14R	401N	1463891891	1463891834	true
4	142400_4..S35X002	409S	1463975587	1463975617	true
4	142400_4..S35X002	410S	1463975701	1463975695	true
4	142400_4..S35X002	411S	1463975780	1463975769	false
4	142400_4..S35X002	412S	1463975780	1463975859	false
4	142400_4..S35X002	413S	1463975780	1463975949	false
4	142400_4..S35X002	414S	1463975780	1463976069	false
4	142400_4..S35X002	415S	1463975780	1463976219	false
4	142400_4..S35X002	416S	1463975780	1463976309	false
4	142400_4..S35X002	621S	1463975780	1463976459	false
4	142400_4..S35X002	626S	1463975780	1463976729	false
4	142400_4..S35X002	629S	1463975780	1463976939	false
4	142400_4..S35X002	631S	1463975780	1463977089	false
4	142400_4..S35X002	635S	1463975780	1463977329	false
4	142400_4..S35X002	640S	1463975780	1463977599	false
4	142400_4..S35X002	418S	1463975780	1463977689	false
4	142400_4..S35X002	419S	1463975780	1463977779	false
4	142400_4..S35X002	420S	1463975780	1463977839	false
4	143550_4..N14R	418N	1463889435	1463889451	true
4	143550_4..N14R	640N	1463889551	1463889563	true
4	143550_4..N14R	635N	1463889854	1463889841	true
4	143550_4..N14R	631N	1463890091	1463890067	true
4	143550_4..N14R	629N	1463890273	1463890243	true
4	143550_4..N14R	626N	1463890505	1463890501	true
4	143550_4..N14R	621N	1463890852	1463890848	true
4	143550_4..N14R	416N	1463891048	1463891042	true
4	143550_4..N14R	415N	1463891163	1463891113	true
4	143550_4..N14R	414N	1463891279	1463891289	true
4	143550_4..N14R	413N	1463891415	1463891407	false
4	143550_4..N14R	412N	1463891415	1463891497	false
4	143550_4..N14R	411N	1463891544	1463891604	true
4	143550_4..N14R	410N	1463891660	1463891651	true
4	143550_4..N14R	409N	1463891698	1463891759	true
4	143550_4..N14R	408N	1463891853	1463891838	true
4	143550_4..N14R	407N	1463891891	1463891917	true
4	143550_4..N14R	406N	1463892019	1463892007	true
4	143550_4..N14R	405N	1463892117	1463892117	true
4	143550_4..N14R	402N	1463892271	1463892223	true
4	143550_4..N14R	401N	1463892422	1463892349	true
6	138600_6..N	613N	1463889435	1463889429	true
6	138600_6..N	612N	1463889551	1463889545	false
6	138600_6..N	611N	1463889551	1463889635	false
6	138600_6..N	610N	1463889664	1463889713	true
6	138600_6..N	609N	1463889777	1463889788	true
6	138600_6..N	608N	1463889902	1463889871	true
6	138600_6..N	607N	1463889969	1463889978	true
6	138600_6..N	606N	1463890043	1463890050	true
6	138600_6..N	604N	1463890091	1463890124	true
6	138600_6..N	603N	1463890197	1463890213	true
6	138600_6..N	602N	1463890273	1463890285	true
6	138600_6..N	601N	1463890505	1463890424	true
6	144100_6..N01R	640N	1463889854	1463889814	true
6	144100_6..N01R	639N	1463889902	1463889965	true
6	144100_6..N01R	638N	1463889969	1463890039	true
6	144100_6..N01R	637N	1463890091	1463890087	true
6	144100_6..N01R	636N	1463890197	1463890188	true
6	144100_6..N01R	635N	1463890312	1463890284	true
6	144100_6..N01R	634N	1463890466	1463890430	true
6	144100_6..N01R	633N	1463890505	1463890517	true
6	144100_6..N01R	632N	1463890582	1463890585	true
6	144100_6..N01R	631N	1463890734	1463890704	true
6	144100_6..N01R	630N	1463890852	1463890844	true
6	144100_6..N01R	629N	1463890930	1463890945	true
6	144100_6..N01R	628N	1463891048	1463891048	true
6	144100_6..N01R	627N	1463891163	1463891140	true
6	144100_6..N01R	626N	1463891279	1463891247	false
6	144100_6..N01R	625N	1463891279	1463891367	false
6	144100_6..N01R	624N	1463891415	1463891465	false
6	144100_6..N01R	623N	1463891415	1463891525	false
6	144100_6..N01R	622N	1463891544	1463891611	true
6	144100_6..N01R	621N	1463891698	1463891692	true
6	144100_6..N01R	619N	1463891944	1463891894	true
6	144100_6..N01R	618N	1463892078	1463892067	true
6	144100_6..N01R	617N	1463892117	1463892148	true
6	144100_6..N01R	616N	1463892309	1463892292	true
6	144100_6..N01R	615N	1463892385	1463892375	true
6	144100_6..N01R	614N	1463892498	1463892481	true
6	144100_6..N01R	613N	1463892612	1463892592	true
6	144100_6..N01R	612N	1463892735	1463892716	true
6	144100_6..N01R	611N	1463892840	1463892821	false
6	144100_6..N01R	610N	1463892840	1463892881	false
6	144100_6..N01R	609N	1463892995	1463892977	true
6	144100_6..N01R	608N	1463893034	1463893057	true
6	144100_6..N01R	607N	1463893149	1463893183	true
6	144100_6..N01R	606N	1463893262	1463893257	true
6	144100_6..N01R	604N	1463893337	1463893334	true
6	144100_6..N01R	603N	1463893451	1463893433	true
6	144100_6..N01R	602N	1463893528	1463893505	true
6	144100_6..N01R	601N	1463893682	1463893633	true
6	000700_6..S01R	601S	1463889969	1463890020	true
6	000700_6..S01R	602S	1463890091	1463890108	true
6	000700_6..S01R	603S	1463890197	1463890197	true
6	000700_6..S01R	604S	1463890312	1463890317	true
6	000700_6..S01R	606S	1463890390	1463890389	true
6	000700_6..S01R	607S	1463890466	1463890458	true
6	000700_6..S01R	608S	1463890582	1463890560	false
6	000700_6..S01R	609S	1463890582	1463890650	false
6	000700_6..S01R	610S	1463890734	1463890730	true
6	000700_6..S01R	611S	1463890811	1463890803	true
6	000700_6..S01R	612S	1463890930	1463890914	true
6	000700_6..S01R	613S	1463891048	1463891030	true
6	000700_6..S01R	614S	1463891125	1463891137	true
6	000700_6..S01R	615S	1463891240	1463891228	true
6	000700_6..S01R	616S	1463891279	1463891301	true
6	000700_6..S01R	617S	1463891415	1463891410	false
6	000700_6..S01R	618S	1463891415	1463891470	false
6	000700_6..S01R	619S	1463891544	1463891560	true
6	000700_6..S01R	621S	1463891774	1463891733	true
6	000700_6..S01R	622S	1463891853	1463891853	true
6	000700_6..S01R	623S	1463891944	1463891935	true
6	000700_6..S01R	624S	1463892019	1463892012	true
6	000700_6..S01R	625S	1463892117	1463892100	true
6	000700_6..S01R	626S	1463892193	1463892200	true
6	000700_6..S01R	627S	1463892271	1463892283	true
6	000700_6..S01R	628S	1463892385	1463892367	true
6	000700_6..S01R	629S	1463892498	1463892448	true
6	000700_6..S01R	630S	1463892536	1463892595	true
6	000700_6..S01R	631S	1463892687	1463892680	true
6	000700_6..S01R	632S	1463892840	1463892821	false
6	000700_6..S01R	633S	1463892840	1463892881	false
6	000700_6..S01R	634S	1463892917	1463892957	true
6	000700_6..S01R	635S	1463893034	1463893039	true
6	000700_6..S01R	636S	1463893149	1463893162	true
6	000700_6..S01R	637S	1463893262	1463893237	false
6	000700_6..S01R	638S	1463893262	1463893297	false
6	000700_6..S01R	639S	1463893375	1463893371	true
6	000700_6..S01R	640S	1463893451	1463893442	true
6	145100_6..N01R	640N	1463890197	1463890260	true
6	145100_6..N01R	639N	1463890312	1463890382	true
6	145100_6..N01R	638N	1463890390	1463890442	true
6	145100_6..N01R	637N	1463890505	1463890488	true
6	145100_6..N01R	636N	1463890582	1463890573	true
6	145100_6..N01R	635N	1463890734	1463890654	true
6	145100_6..N01R	634N	1463890852	1463890828	true
6	145100_6..N01R	633N	1463890930	1463890898	false
6	145100_6..N01R	632N	1463890930	1463890958	false
6	145100_6..N01R	631N	1463891125	1463891092	true
6	145100_6..N01R	630N	1463891240	1463891234	true
6	145100_6..N01R	629N	1463891279	1463891349	true
6	145100_6..N01R	628N	1463891415	1463891430	true
6	145100_6..N01R	627N	1463891544	1463891517	false
6	145100_6..N01R	626N	1463891544	1463891607	false
6	145100_6..N01R	625N	1463891698	1463891713	true
6	145100_6..N01R	624N	1463891774	1463891823	true
6	145100_6..N01R	623N	1463891891	1463891867	true
6	145100_6..N01R	622N	1463891944	1463891947	true
6	145100_6..N01R	621N	1463892078	1463892057	true
6	145100_6..N01R	619N	1463892309	1463892225	true
6	145100_6..N01R	618N	1463892385	1463892385	true
6	145100_6..N01R	617N	1463892498	1463892492	true
6	145100_6..N01R	616N	1463892612	1463892625	true
6	145100_6..N01R	615N	1463892687	1463892703	true
6	145100_6..N01R	614N	1463892802	1463892802	true
6	145100_6..N01R	613N	1463892917	1463892910	true
6	145100_6..N01R	612N	1463893034	1463893026	true
6	145100_6..N01R	611N	1463893149	1463893124	false
6	145100_6..N01R	610N	1463893149	1463893184	false
6	145100_6..N01R	609N	1463893262	1463893283	true
6	145100_6..N01R	608N	1463893375	1463893365	true
6	145100_6..N01R	607N	1463893451	1463893467	true
6	145100_6..N01R	606N	1463893528	1463893536	true
6	145100_6..N01R	604N	1463893567	1463893612	true
6	145100_6..N01R	603N	1463893682	1463893703	true
6	145100_6..N01R	602N	1463894219	1463893780	true
6	145100_6..N01R	601N	1463894447	1463894374	true
6	146100_6..N01R	640N	1463890852	1463890866	true
6	146100_6..N01R	639N	1463890930	1463891024	true
6	146100_6..N01R	638N	1463891048	1463891063	true
6	146100_6..N01R	637N	1463891163	1463891140	true
6	146100_6..N01R	636N	1463891240	1463891228	true
6	146100_6..N01R	635N	1463891279	1463891346	true
6	146100_6..N01R	634N	1463891415	1463891492	true
6	146100_6..N01R	633N	1463891544	1463891528	false
6	146100_6..N01R	632N	1463891544	1463891588	false
6	146100_6..N01R	631N	1463891698	1463891725	true
6	146100_6..N01R	630N	1463891891	1463891862	true
6	146100_6..N01R	629N	1463891944	1463891953	true
6	146100_6..N01R	628N	1463892078	1463892054	true
6	146100_6..N01R	627N	1463892117	1463892165	true
6	146100_6..N01R	626N	1463892271	1463892259	true
6	146100_6..N01R	625N	1463892385	1463892369	true
6	146100_6..N01R	624N	1463892422	1463892501	true
6	146100_6..N01R	623N	1463892536	1463892532	true
6	146100_6..N01R	622N	1463892612	1463892616	true
6	146100_6..N01R	621N	1463892735	1463892727	true
6	146100_6..N01R	619N	1463892995	1463892908	true
6	146100_6..N01R	618N	1463893149	1463893103	true
6	146100_6..N01R	617N	1463893224	1463893232	true
6	146100_6..N01R	616N	1463893337	1463893348	true
6	146100_6..N01R	615N	1463893451	1463893426	true
6	146100_6..N01R	614N	1463893528	1463893522	true
6	146100_6..N01R	613N	1463893643	1463893626	true
6	146100_6..N01R	612N	1463893759	1463893733	false
6	146100_6..N01R	611N	1463893759	1463893823	false
6	146100_6..N01R	610N	1463893875	1463893899	true
6	146100_6..N01R	609N	1463893990	1463893980	true
6	146100_6..N01R	608N	1463894067	1463894064	true
6	146100_6..N01R	607N	1463894181	1463894168	true
6	146100_6..N01R	606N	1463894219	1463894236	true
6	146100_6..N01R	604N	1463894295	1463894313	true
6	146100_6..N01R	603N	1463894409	1463894408	true
6	146100_6..N01R	602N	1463894447	1463894514	true
6	146100_6..N01R	601N	1463894639	1463894611	true
6	002200_6..S01R	601S	1463890930	1463890920	true
6	002200_6..S01R	602S	1463891048	1463891067	true
6	002200_6..S01R	603S	1463891163	1463891150	true
6	002200_6..S01R	604S	1463891279	1463891262	false
6	002200_6..S01R	606S	1463891279	1463891322	false
6	002200_6..S01R	607S	1463891415	1463891405	true
6	002200_6..S01R	608S	1463891544	1463891509	false
6	002200_6..S01R	609S	1463891544	1463891599	false
6	002200_6..S01R	610S	1463891698	1463891681	true
6	002200_6..S01R	611S	1463891774	1463891748	true
6	002200_6..S01R	612S	1463891891	1463891871	true
6	002200_6..S01R	613S	1463892019	1463891986	true
6	002200_6..S01R	614S	1463892117	1463892098	true
6	002200_6..S01R	615S	1463892271	1463892190	true
6	002200_6..S01R	616S	1463892309	1463892338	true
6	002200_6..S01R	617S	1463892422	1463892445	true
6	002200_6..S01R	618S	1463892612	1463892566	true
6	002200_6..S01R	619S	1463892735	1463892698	true
6	002200_6..S01R	621S	1463892917	1463892925	true
6	002200_6..S01R	622S	1463893034	1463893054	true
6	002200_6..S01R	623S	1463893149	1463893124	false
6	002200_6..S01R	624S	1463893149	1463893184	false
6	002200_6..S01R	625S	1463893262	1463893284	true
6	002200_6..S01R	626S	1463893375	1463893385	true
6	002200_6..S01R	627S	1463893451	1463893513	true
6	002200_6..S01R	628S	1463893567	1463893589	true
6	002200_6..S01R	629S	1463893682	1463893677	true
6	002200_6..S01R	630S	1463893759	1463893765	true
6	002200_6..S01R	631S	1463893875	1463893878	true
6	002200_6..S01R	632S	1463893990	1463894044	true
6	002200_6..S01R	633S	1463894105	1463894093	false
6	002200_6..S01R	634S	1463894105	1463894153	false
6	002200_6..S01R	635S	1463894295	1463894255	true
6	002200_6..S01R	636S	1463894409	1463894386	true
6	002200_6..S01R	637S	1463894447	1463894464	true
6	002200_6..S01R	638S	1463894524	1463894536	true
6	002200_6..S01R	639S	1463894601	1463894602	true
6	002200_6..S01R	640S	1463894715	1463894682	true
6	137650_6..S01R	638S	1463889435	1463889431	true
6	137650_6..S01R	639S	1463889512	1463889503	true
6	137650_6..S01R	640S	1463889551	1463889649	true
6	137700_6..N01R	601N	1463889435	1463889375	true
6	138650_6..S01R	634S	1463889435	1463889484	true
6	138650_6..S01R	635S	1463889551	1463889586	true
6	138650_6..S01R	636S	1463889664	1463889713	true
6	138650_6..S01R	637S	1463889777	1463889789	true
6	138650_6..S01R	638S	1463889854	1463889863	true
6	138650_6..S01R	639S	1463889902	1463889941	true
6	138650_6..S01R	640S	1463890043	1463890016	true
6	139500_6..N01R	616N	1463975663	1463975652	true
6	139500_6..N01R	615N	1463975701	1463975757	true
6	139500_6..N01R	614N	1463975780	1463975834	false
6	139500_6..N01R	613N	1463975780	1463975954	false
6	139500_6..N01R	612N	1463975780	1463976044	false
6	139500_6..N01R	611N	1463975780	1463976134	false
6	139500_6..N01R	610N	1463975780	1463976194	false
6	139500_6..N01R	609N	1463975780	1463976284	false
6	139500_6..N01R	608N	1463975780	1463976344	false
6	139500_6..N01R	607N	1463975780	1463976434	false
6	139500_6..N01R	606N	1463975780	1463976494	false
6	139500_6..N01R	604N	1463975780	1463976554	false
6	139500_6..N01R	603N	1463975780	1463976644	false
6	139500_6..N01R	602N	1463975780	1463976734	false
6	139500_6..N01R	601N	1463975780	1463976884	false
6	139650_6..S01R	628S	1463889512	1463889486	true
6	139650_6..S01R	629S	1463889551	1463889592	true
6	139650_6..S01R	630S	1463889664	1463889711	true
6	139650_6..S01R	631S	1463889854	1463889813	true
6	139650_6..S01R	632S	1463889969	1463889980	true
6	139650_6..S01R	633S	1463890043	1463890045	true
6	139650_6..S01R	634S	1463890091	1463890120	true
6	139650_6..S01R	635S	1463890273	1463890219	true
6	139650_6..S01R	636S	1463890312	1463890323	true
6	139650_6..S01R	637S	1463890390	1463890453	true
6	139650_6..S01R	638S	1463890505	1463890505	true
6	139650_6..S01R	639S	1463890582	1463890575	true
6	139650_6..S01R	640S	1463890696	1463890664	true
6	140400_6..N01R	618N	1463889435	1463889482	true
6	140400_6..N01R	617N	1463889551	1463889537	true
6	140400_6..N01R	616N	1463889664	1463889660	true
6	140400_6..N01R	615N	1463889740	1463889736	true
6	140400_6..N01R	614N	1463889854	1463889832	true
6	140400_6..N01R	613N	1463889969	1463889956	true
6	140400_6..N01R	612N	1463890091	1463890065	true
6	140400_6..N01R	611N	1463890197	1463890168	false
6	140400_6..N01R	610N	1463890197	1463890228	false
6	140400_6..N01R	609N	1463890312	1463890329	true
6	140400_6..N01R	608N	1463890466	1463890439	true
6	140400_6..N01R	607N	1463890582	1463890563	false
6	140400_6..N01R	606N	1463890582	1463890623	false
6	140400_6..N01R	604N	1463890734	1463890711	true
6	140400_6..N01R	603N	1463890811	1463890804	true
6	140400_6..N01R	602N	1463890852	1463890913	true
6	140400_6..N01R	601N	1463891163	1463891159	true
6	140650_6..S01R	622S	1463889512	1463889486	true
6	140650_6..S01R	623S	1463889551	1463889561	true
6	140650_6..S01R	624S	1463889664	1463889641	true
6	140650_6..S01R	625S	1463889740	1463889729	true
6	140650_6..S01R	626S	1463889854	1463889833	true
6	140650_6..S01R	627S	1463889902	1463889928	true
6	140650_6..S01R	628S	1463889969	1463890057	true
6	140650_6..S01R	629S	1463890091	1463890097	true
6	140650_6..S01R	630S	1463890197	1463890195	true
6	140650_6..S01R	631S	1463890312	1463890310	true
6	140650_6..S01R	632S	1463890466	1463890463	true
6	140650_6..S01R	633S	1463890505	1463890537	true
6	140650_6..S01R	634S	1463890582	1463890598	true
6	140650_6..S01R	635S	1463890734	1463890703	true
6	140650_6..S01R	636S	1463890852	1463890829	true
6	140650_6..S01R	637S	1463890930	1463890907	false
6	140650_6..S01R	638S	1463890930	1463890967	false
6	140650_6..S01R	639S	1463891048	1463891049	true
6	140650_6..S01R	640S	1463891163	1463891127	true
6	141300_6..N01R	628N	1463889435	1463889361	true
6	141300_6..N01R	627N	1463889512	1463889495	true
6	141300_6..N01R	626N	1463889551	1463889619	true
6	141300_6..N01R	625N	1463889740	1463889725	true
6	141300_6..N01R	624N	1463889777	1463889838	true
6	141300_6..N01R	623N	1463889854	1463889864	true
6	141300_6..N01R	622N	1463889969	1463889949	true
6	141300_6..N01R	621N	1463890091	1463890049	true
6	141300_6..N01R	619N	1463890273	1463890242	true
6	141300_6..N01R	618N	1463890312	1463890359	true
6	141300_6..N01R	617N	1463890390	1463890420	true
6	141300_6..N01R	616N	1463890582	1463890570	false
6	141300_6..N01R	615N	1463890582	1463890660	false
6	141300_6..N01R	614N	1463890734	1463890760	true
6	141300_6..N01R	613N	1463890852	1463890877	true
6	141300_6..N01R	612N	1463891010	1463890981	true
6	141300_6..N01R	611N	1463891048	1463891093	true
6	141300_6..N01R	610N	1463891163	1463891158	true
6	141300_6..N01R	609N	1463891240	1463891246	true
6	141300_6..N01R	608N	1463891279	1463891327	true
6	141300_6..N01R	607N	1463891415	1463891454	true
6	141300_6..N01R	606N	1463891544	1463891527	false
6	141300_6..N01R	604N	1463891544	1463891587	false
6	141300_6..N01R	603N	1463891698	1463891702	true
6	141300_6..N01R	602N	1463891774	1463891778	true
6	141300_6..N01R	601N	1463891944	1463891912	true
6	141750_6..S01R	614S	1463975780	1463975806	false
6	141750_6..S01R	615S	1463975780	1463975926	false
6	141750_6..S01R	616S	1463975780	1463975986	false
6	141750_6..S01R	617S	1463975780	1463976106	false
6	141750_6..S01R	618S	1463975780	1463976166	false
6	141750_6..S01R	619S	1463975780	1463976256	false
6	141750_6..S01R	621S	1463975780	1463976436	false
6	141750_6..S01R	622S	1463975780	1463976526	false
6	141750_6..S01R	623S	1463975780	1463976616	false
6	141750_6..S01R	624S	1463975780	1463976676	false
6	141750_6..S01R	625S	1463975780	1463976766	false
6	141750_6..S01R	626S	1463975780	1463976886	false
6	141750_6..S01R	627S	1463975780	1463976976	false
6	141750_6..S01R	628S	1463975780	1463977096	false
6	141750_6..S01R	629S	1463975780	1463977186	false
6	141750_6..S01R	630S	1463975780	1463977276	false
6	141750_6..S01R	631S	1463975780	1463977396	false
6	141750_6..S01R	632S	1463975780	1463977516	false
6	141750_6..S01R	633S	1463975780	1463977576	false
